m000000_000000_base	1563994971
m130524_201442_init	1563994972
m190124_110200_add_verification_token_column_to_user_table	1563994972
m190725_075900_create_comment_table	1564152821
m190725_080443_create_human_table	1564152821
m190725_080636_create_mraa_rating_table	1564152821
m190725_080703_create_genre_table	1564152821
m190725_081148_create_film_table	1564152821
m190725_081619_create_junction_table_for_film_and_genre_table	1564152821
m190725_081723_create_junction_table_for_film_and_human_table	1564152822
m190725_082910_create_user_rating_table	1564152822
m190725_083004_create_junction_table_for_film_and_user_rating_table	1564152822
m190725_104314_create_award_table	1564152822
m190725_104406_create_junction_table_for_film_and_award_table	1564152822
m190725_104923_create_junction_table_for_users_and_favorite_films_table	1564152822
m190725_150220_alter_genre_table_edit_name_column	1564152822
